id,title,description,price,currency,image_url,brand,condition,availability,google_product_category,link
FAR-007,Asafo Pounded Yam (9kg),Asafo pounded yam (9kg),34.12,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-007.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5366
RINOU-003,Avtar Basmati Rice (4.5kg),Avtar basmati rice (4.5kg),14.22,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-003.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5500
VIPO-002,BONGA Fillet (100g),Bonga fillet (100g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-002.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5572
SEAS-001,Banga Spice,Banga spice,4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/SEAS-001.jpg?v=2,Africomfort Foods,new,in stock,Spice & Seasoning,https://africomfort-foods.odoo.com/shop/product/5605
FAR-008,Beans Powder (2kg),Beans powder (2kg),7.58,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-008.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5402
DEJ-002,Bird's Custard Powder (500g),Bird's custard powder (500g),5.21,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-002.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5591
VEG-001,Bitterleaf (NDOLE),Bitterleaf (ndole),2.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-001.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5419
FAR-010,Black Eye Beans (5kg),Black eye beans (5kg),13.27,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-010.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5590
VIPO-003,Black Tilapia Fish (4kg),Black tilapia fish (4kg),15.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-003.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5361
DEJ-004,Blue Band (450 g),Blue band (450 g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-004.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5493
